epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.509,1.50998,2.21903,1.63878,0.96892,0.44053,0.47895,0.27165,1.49351,1.14245,1.53711,0.00332432,0.00332432,0.00332432
2,181.745,1.3019,1.42848,1.43224,0.97095,0.45054,0.49441,0.27642,1.46373,1.03674,1.52756,0.0066247,0.0066247,0.0066247
3,262.666,1.33192,1.29936,1.45913,0.8725,0.43188,0.50466,0.28339,1.48505,0.9547,1.5569,0.00989208,0.00989208,0.00989208
4,344.305,1.35847,1.2185,1.48755,0.62718,0.54395,0.53101,0.31613,1.33559,0.76935,1.4766,0.0098515,0.0098515,0.0098515
5,425.641,1.31392,1.09688,1.46339,0.65783,0.53032,0.53112,0.33305,1.28411,0.72626,1.42374,0.009802,0.009802,0.009802
6,504.047,1.29121,1.02404,1.44388,0.68367,0.57849,0.59032,0.35531,1.29516,0.78441,1.43795,0.0097525,0.0097525,0.0097525
7,581.848,1.27585,0.98121,1.43732,0.5483,0.5943,0.56697,0.33575,1.39063,0.67489,1.52439,0.009703,0.009703,0.009703
8,659.466,1.25563,0.94446,1.4162,0.68462,0.72259,0.68548,0.43265,1.29923,0.61799,1.42834,0.0096535,0.0096535,0.0096535
9,736.995,1.23345,0.91517,1.40425,0.76745,0.5403,0.57248,0.35938,1.30926,0.6982,1.45599,0.009604,0.009604,0.009604
10,814.796,1.23031,0.88771,1.3939,0.79094,0.56866,0.65113,0.40624,1.2696,0.60827,1.41163,0.0095545,0.0095545,0.0095545
11,892.77,1.21746,0.8774,1.3986,0.83465,0.67521,0.71476,0.47509,1.19539,0.58203,1.3656,0.009505,0.009505,0.009505
12,970.614,1.20179,0.85074,1.37566,0.7961,0.63208,0.70049,0.43534,1.24923,0.58752,1.41036,0.0094555,0.0094555,0.0094555
13,1048.48,1.19804,0.83612,1.37607,0.62275,0.58694,0.58365,0.37098,1.3021,0.62288,1.43764,0.009406,0.009406,0.009406
14,1126.5,1.18669,0.83007,1.37236,0.70669,0.61484,0.63577,0.39047,1.34382,0.60103,1.47733,0.0093565,0.0093565,0.0093565
15,1204.01,1.18018,0.82439,1.3651,0.66677,0.62298,0.63708,0.38892,1.32609,0.60894,1.4632,0.009307,0.009307,0.009307
16,1281.31,1.16913,0.80593,1.35535,0.72228,0.71793,0.71702,0.43297,1.3368,0.57727,1.51739,0.0092575,0.0092575,0.0092575
17,1359.32,1.16885,0.80191,1.36077,0.77621,0.71366,0.72303,0.43854,1.35972,0.55651,1.50914,0.009208,0.009208,0.009208
18,1437.17,1.16667,0.79367,1.35777,0.73024,0.69352,0.66608,0.42115,1.29435,0.55718,1.45008,0.0091585,0.0091585,0.0091585
19,1514.96,1.15777,0.79263,1.34426,0.70976,0.72199,0.7198,0.4584,1.22462,0.54111,1.3822,0.009109,0.009109,0.009109
20,1592.72,1.15349,0.77378,1.33933,0.70682,0.67377,0.64991,0.4055,1.26098,0.55159,1.41026,0.0090595,0.0090595,0.0090595
21,1670.3,1.15911,0.77514,1.35045,0.75039,0.65827,0.69033,0.42627,1.30208,0.54227,1.47078,0.00901,0.00901,0.00901
22,1747.63,1.14165,0.75995,1.3404,0.8445,0.68748,0.68547,0.43676,1.23592,0.5397,1.40269,0.0089605,0.0089605,0.0089605
